日付,バーコード,商品名,在庫数
2023-10-13 14:27:52,4934676018341,イルミナ　グリーンライト　緑光 720ml（純米吟醸）【限定品】,50
2023-10-13 14:46:50,4997231002988,鶏のすなぎも七輪炭火焼 50g,30
