日付,バーコード,商品名,在庫数
2023-10-11 15:08:18,4903182042102,味付けのり 宮島かきの醤油,3
2023-10-11 15:08:33,4906336009242,うずらのたまご（鰹節・昆布だし和風醤油）,65
